id_escola;Nome;Cluster;Status da Escola;Adimplência Contratual;Adimplência Financeira;Vendas SLM 2025;Direito a voucher;;Habilitação Voucher;Qtd. Vouchers;Código do voucher;Voucher enviado ;Observação
65;Maple Bear Teresópolis - Bom Retiro I;Desenvolvimento;Ativa;Sim;ROY/FDMP;139;Não ;;5%;7;MBRJ2026219;SIM;"Ana 31/07: Cyndi mandou um e-mail em 31/07 falando sobre a questão financeira dessa escola. Preciso falar com o Ramires para entender se poderemos ou não entregar os vouchers. 
Ana 08/08: Embora tenham pendencias financeiras, há um acordo sobre esses valores e o Ramires autorizou a entrega dos vouchers"
651;Maple Bear São Carlos I;Desenvolvimento;Ativa;Sim;Sim;107;Sim;;5%;5;MBSP2026202;SIM;
654;Maple Bear Poços De Caldas - Centro I;Potente;Ativa;Sim;Sim;42;Sim;;5%;2;MBMG2026305;SIM;
657;Maple Bear Porto Alegre - Zona Sul;Desenvolvimento;Ativa;Sim;ROY/FDMP;62;Não ;;5%;3;MBRS2026277;;e-mail enviado dia 04/08
66;Maple Bear Natal - Tirol;Desenvolvimento;Ativa;Sim;ROY/FDMP;572;Sim;;5%;29;MBRN2026107;SIM;"e-mail enviado dia 04/08
Ana 19/08: Verifiquei na planilha da Cyndi que foi feito acordo junto a esssa escola para regularização financeira. Liberado voucher nessa data "
660;Maple Bear São Paulo - Belenzinho I;Alerta;Ativa;Sim;Sim;21;Sim;;5%;1;MBSP2026304;SIM;
663;Maple Bear São José Dos Pinhais;Desenvolvimento;Ativa;Sim;ROY;107;Não ;;5%;5;MBPR2026275;SIM;"e-mail enviado dia 04/08
Ana 23/10: Cyndi informou em nosso grupo com o financeiro no Teams, que podemos enviar os vouchers dessa escola. "
669;Maple Bear Brasília - Asa Norte;Desenvolvimento;Ativa;Não;FDMP;541;Sim;;5%;27;MBDF2026116;SIM;Ana 01/08: Cyndi confirmou via Teams (grupo financeiro) que paras as escolas próproas não há cobrança e que são insentas de cobrança
67;Maple Bear Parnamirim - Nova Parnamirim;Desenvolvimento;Ativa;Sim;ROY/FDMP;195;Sim;;5%;10;MBRN2026187;SIM;"e-mail enviado dia 04/08.

Ana 04/08: Paulo solicitou mais informações e eu pedi a ele para contatar o time financeiro através do whatsapp. 
Ana 12/08: Cyndi enviou em 08/08 um e-mail com o detalhamento das pendências financeiras da escola.
Ana 28/08: Cyndi autorizou mandar os vouchers, pois fez acordo com a escoa"
672;Maple Bear Brasília - Sudoeste;Desenvolvimento;Ativa;Sim;Sim;524;Sim;;5%;26;MBDF2026117;SIM;
673;Maple Bear Primavera Do Leste;Potente;Ativa;Sim;ROY/FDMP;51;Não ;;5%;3;MBSP2026340;;e-mail enviado dia 04/08
676;Maple Bear Lagoa Santa - Vila Joana D'Arc I;Potente;Ativa;Sim;Sim;125;Sim;;5%;6;MBSP2026292;SIM;
